Sand,Clay,Silt,pH,EC,N,,K,SoilType
16.0,41.0,42.0,8.04,19.29,1.2,0.0,146.4,Silty clay
57.0,22.0,21.0,7.55,230.0,0.3,0.0,117.4,Sandy loam
33.0,39.0,28.0,8.1,14.17,1.0,9.4,447.3,Clay loam
45.0,19.0,36.0,7.92,15.65,1.5,16.0,224.0,Loam
18.0,39.0,43.0,7.81,38.8,2.4,30.7,387.9,Clay loam
11.0,41.0,48.0,7.84,18.4,2.6,0.0,272.9,Silty clay
25.0,22.0,53.0,7.53,15.89,5.4,9.5,425.1,Silt loam
55.0,16.0,29.0,7.8,13.35,1.2,0.0,194.2,Loam
25.0,22.0,53.0,7.77,18.91,2.8,0.0,188.8,Silt loam
25.0,28.0,47.0,7.95,19.51,0.9,8.7,255.8,Clay loam
26.0,32.0,42.0,8.0,14.33,1.0,11.5,248.3,Clay loam
47.0,23.0,30.0,8.2,12.45,0.7,6.2,152.2,Loam
12.0,42.0,46.0,7.84,15.08,1.1,0.0,84.3,Silty clay
42.0,24.0,34.0,8.05,17.47,1.2,20.4,186.0,Loam
21.0,25.0,54.0,8.17,15.34,1.0,0.0,178.2,Silt loam
56.0,17.0,27.0,8.15,13.17,0.8,0.0,105.9,Loam
32.0,18.0,50.0,7.51,16.86,1.4,0.0,303.6,Silt loam
39.0,22.0,39.0,8.09,15.47,1.3,15.4,136.2,Loam
51.0,14.0,36.0,7.54,16.58,2.7,0.0,171.3,Loam
24.0,24.0,52.0,7.85,13.43,3.8,6.8,197.6,Silt loam
48.0,14.0,38.0,7.71,25.0,2.0,5.6,152.0,Loam
30.0,19.0,51.0,8.23,10.88,0.6,0.0,106.7,Silt loam
55.0,15.0,31.0,6.85,6.33,1.2,0.0,114.9,Loam
9.0,40.0,52.0,7.91,20.2,2.1,12.2,293.6,Clay loam
59.0,12.0,29.0,6.17,30.6,1.7,0.0,121.6,Loam
18.0,33.0,48.0,8.03,20.9,0.9,7.5,133.2,Clay loam
37.0,22.0,41.0,5.82,20.9,1.3,10.0,118.2,Loam
47.0,20.0,33.0,6.57,13.2,1.1,0.0,97.6,Loam
14.0,41.0,45.0,7.94,24.6,1.7,12.1,155.4,Silty clay
20.0,30.0,50.0,7.87,27.8,2.6,8.7,229.4,Clay loam
10.0,56.0,34.0,7.8,29.8,1.6,18.6,495.2,Clay
10.0,49.0,40.0,7.9,15.99,1.2,7.9,354.1,Silty clay
19.0,29.0,52.0,7.76,42.7,2.3,47.3,185.2,Clay loam
52.0,16.0,32.0,7.65,32.6,3.2,0.0,330.8,Loam
27.0,26.0,47.0,7.93,43.5,1.2,27.2,496.5,Loam
22.0,28.0,51.0,7.88,23.6,2.2,7.0,244.2,Clay loam
13.0,37.0,50.0,8.06,16.64,1.8,14.1,144.5,Clay loam
32.0,30.0,38.0,8.05,18.3,1.3,18.8,144.8,Clay loam
32.0,25.0,43.0,8.01,27.3,1.3,8.9,156.3,Loam
20.0,22.0,57.0,7.48,17.83,5.8,7.7,421.5,Silt loam
21.0,42.0,37.0,8.03,18.32,1.1,10.7,286.1,Clay
35.0,14.0,51.0,7.1,117.3,7.5,22.5,286.5,Silt loam
20.0,38.0,42.0,7.96,26.4,1.4,9.0,239.3,Clay loam
38.0,15.0,47.0,7.73,26.8,3.2,0.0,94.2,Loam
11.0,46.0,43.0,7.89,24.2,1.9,27.3,306.4,Silty clay
30.0,30.0,40.0,7.83,37.6,1.9,7.3,612.9,Clay loam
33.0,27.0,41.0,7.93,15.5,1.4,14.3,295.0,Loam
27.0,27.0,46.0,7.88,25.2,1.6,5.8,265.0,Clay loam
22.0,31.0,47.0,7.85,23.8,2.1,0.0,238.5,Clay loam
14.0,41.0,45.0,8.02,15.67,1.9,5.9,295.5,Silty clay
30.0,22.0,47.0,7.87,18.52,2.3,0.0,243.7,Loam
12.0,32.0,56.0,7.76,23.1,3.7,5.7,557.6,Clay loam
20.0,25.0,55.0,7.77,25.2,1.9,4.7,154.9,Silt loam
14.0,41.0,45.0,8.01,23.5,1.7,16.0,555.6,Silty clay
28.0,19.0,54.0,7.55,66.9,4.9,11.0,370.5,Silt loam
37.0,29.0,34.0,7.25,32.0,1.5,10.7,220.9,Clay loam
23.0,29.0,48.0,8.06,21.5,0.9,7.5,236.4,Clay loam
33.0,23.0,44.0,7.98,20.4,2.1,23.1,159.4,Loam
51.0,26.0,22.0,8.0,18.66,0.7,7.6,231.4,Sandy loam
18.0,38.0,44.0,8.09,23.5,1.2,15.7,330.1,Clay loam
69.0,12.0,19.0,6.97,13.05,0.6,30.6,245.5,Loam
67.0,11.0,22.0,5.79,6.97,0.7,43.1,69.1,Loam
45.0,19.0,35.0,6.2,4.95,0.8,13.1,71.8,Loam
33.0,24.0,43.0,8.02,15.73,1.1,0.0,151.7,Loam
57.0,19.0,24.0,7.95,25.1,1.2,26.0,290.5,Loam
34.0,32.0,34.0,7.77,35.3,1.5,9.3,388.7,Clay loam
43.0,11.0,45.0,7.49,22.9,4.2,28.7,277.8,Loam
15.0,27.0,58.0,7.62,32.7,5.6,6.9,535.6,Clay loam
67.0,6.0,27.0,4.46,28.9,5.5,19.2,146.2,Loam
23.0,35.0,42.0,7.79,16.35,2.6,7.4,265.0,Clay loam
31.0,24.0,45.0,5.23,3.14,1.5,0.0,60.5,Loam
27.0,37.0,36.0,5.89,9.33,1.6,10.0,80.2,Clay loam
23.0,35.0,42.0,7.92,15.71,0.8,5.7,356.2,Clay loam
57.0,19.0,25.0,7.86,15.82,1.3,38.0,203.1,Loam
12.0,52.0,35.0,7.87,25.1,1.3,15.9,546.2,Clay
20.0,41.0,40.0,7.47,42.0,2.4,11.5,506.2,Clay
14.0,46.0,40.0,7.75,16.97,2.3,0.0,456.9,Silty clay
29.0,28.0,43.0,7.33,15.85,3.6,9.7,419.1,Clay loam
33.0,16.0,51.0,4.85,84.3,5.3,26.3,175.0,Silt loam
15.0,42.0,43.0,7.29,18.73,3.2,7.4,795.1,Silty clay
25.0,16.0,59.0,6.43,11.14,3.4,9.2,255.4,Silt loam
33.0,20.0,46.0,6.05,47.4,4.3,12.8,370.1,Loam
4.0,47.0,49.0,8.44,16.95,0.8,0.0,393.3,Silty clay
64.0,8.0,28.0,6.42,6.53,1.5,7.2,66.3,Loam
67.0,12.0,21.0,8.15,19.8,0.2,0.0,76.6,Loam
59.0,9.0,32.0,6.65,8.52,2.5,9.4,157.6,Loam
44.0,17.0,39.0,6.37,8.37,3.4,7.0,119.6,Loam
36.0,21.0,43.0,5.6,6.71,1.7,0.0,108.5,Loam
37.0,19.0,44.0,7.56,30.5,2.1,5.4,209.9,Loam
18.0,34.0,47.0,7.03,17.32,6.8,15.4,817.4,Clay loam
43.0,11.0,46.0,5.14,13.88,4.9,22.9,162.7,Loam
28.0,26.0,45.0,7.85,15.94,2.1,5.2,237.3,Loam
60.0,9.0,31.0,6.35,5.52,0.6,14.0,49.3,Loam
61.0,12.0,27.0,7.7,11.11,1.0,0.0,74.9,Loam
49.0,10.0,41.0,5.14,13.24,2.6,27.0,140.4,Loam
63.0,10.0,27.0,7.05,10.79,1.0,11.1,123.4,Loam
63.0,7.0,30.0,6.1,10.89,1.7,17.2,65.2,Loam
46.0,18.0,36.0,7.29,9.48,1.5,0.0,132.9,Loam
31.0,25.0,44.0,6.3,3.96,0.9,21.1,147.4,Loam
45.0,14.0,41.0,5.98,10.89,1.4,56.5,176.4,Loam
85.0,5.0,9.0,5.2,3.92,0.4,17.2,99.5,Sand
47.0,15.0,38.0,5.87,6.01,1.4,5.4,136.2,Loam
58.0,8.0,35.0,4.64,9.29,4.2,17.6,133.0,Loam
13.0,47.0,40.0,7.65,12.28,1.5,12.0,421.8,Silty clay
33.0,33.0,34.0,7.51,13.1,1.4,49.9,373.7,Clay loam
42.0,18.0,39.0,7.83,15.86,1.0,20.8,201.4,Loam
28.0,20.0,52.0,7.33,41.5,2.4,6.2,107.4,Silt loam
81.0,6.0,13.0,5.77,3.11,0.4,0.0,44.7,Loamy sand
57.0,10.0,33.0,4.98,19.27,2.1,20.5,158.7,Loam
53.0,10.0,36.0,5.93,6.67,1.8,13.0,156.4,Loam
31.0,24.0,45.0,7.55,27.0,2.5,8.5,364.2,Loam
43.0,14.0,42.0,6.58,24.7,2.1,7.0,290.2,Loam
14.0,40.0,45.0,8.16,16.46,1.1,0.0,257.4,Silty clay
16.0,37.0,47.0,7.8,18.5,1.5,0.0,442.8,Clay loam
17.0,28.0,55.0,6.93,169.5,8.7,16.8,739.6,Clay loam
78.0,7.0,15.0,6.1,9.65,0.4,0.0,30.8,Loamy sand
29.0,17.0,55.0,7.33,43.5,3.7,6.0,157.8,Silt loam
27.0,16.0,57.0,7.44,43.2,4.9,7.3,204.4,Silt loam
27.0,28.0,45.0,7.48,31.3,2.6,5.4,295.1,Clay loam
19.0,32.0,49.0,7.0,9.62,1.8,0.0,545.9,Clay loam
23.0,21.0,56.0,7.58,38.8,3.9,8.8,329.7,Silt loam
20.0,39.0,40.0,7.74,12.86,2.4,0.0,410.8,Clay loam
34.0,20.0,47.0,6.7,11.44,4.5,9.5,243.3,Loam
18.0,29.0,53.0,7.41,40.3,3.3,6.0,722.9,Clay loam
14.0,32.0,53.0,7.24,32.5,4.1,0.0,544.4,Clay loam
25.0,17.0,58.0,7.23,47.6,6.3,11.3,308.9,Silt loam
42.0,18.0,40.0,7.17,23.9,1.3,0.0,96.8,Loam
43.0,20.0,38.0,7.62,17.27,2.3,5.3,172.4,Loam
15.0,33.0,52.0,7.39,43.6,4.7,7.1,568.2,Clay loam
60.0,16.0,24.0,8.0,22.6,1.0,0.0,95.4,Loam
45.0,15.0,40.0,7.34,38.3,3.1,11.0,213.5,Loam
41.0,23.0,35.0,7.66,18.07,1.6,0.0,437.5,Loam
24.0,31.0,45.0,7.93,14.08,0.9,15.7,190.8,Clay loam
26.0,19.0,55.0,7.62,35.6,4.8,8.6,693.0,Silt loam
15.0,38.0,47.0,7.21,22.5,2.7,0.0,530.7,Clay loam
25.0,26.0,49.0,7.36,7.06,0.5,5.7,84.6,Loam
16.0,23.0,61.0,5.49,3.75,1.4,0.0,100.8,Silt loam
46.0,8.0,46.0,3.81,11.52,4.0,16.0,192.9,Loam
20.0,19.0,61.0,4.97,7.74,5.6,38.2,429.9,Silt loam
28.0,10.0,62.0,4.03,21.3,11.7,23.2,247.8,Silt loam
41.0,7.0,52.0,4.15,7.16,5.3,15.9,47.3,Silt loam
53.0,8.0,38.0,4.7,3.73,2.2,0.0,39.4,Loam
43.0,9.0,48.0,4.82,9.69,7.7,10.2,112.0,Loam
41.0,11.0,48.0,4.0,7.78,6.8,18.2,49.4,Loam
26.0,12.0,62.0,5.06,18.49,7.6,33.9,195.5,Silt loam
26.0,30.0,44.0,7.42,33.9,3.1,7.4,413.3,Clay loam
41.0,18.0,41.0,5.96,29.6,2.6,5.4,77.7,Loam
18.0,34.0,48.0,6.67,49.0,3.5,6.7,602.0,Clay loam
22.0,20.0,58.0,7.13,102.9,6.4,39.5,440.9,Silt loam
47.0,12.0,40.0,6.38,45.3,3.0,11.2,155.2,Loam
36.0,17.0,47.0,5.11,57.2,3.9,11.2,195.9,Loam
27.0,25.0,48.0,7.33,37.5,4.3,6.2,394.5,Loam
8.0,34.0,58.0,7.71,20.1,1.4,0.0,128.7,Clay loam
19.0,36.0,45.0,7.75,21.0,1.6,0.0,320.5,Clay loam
49.0,23.0,28.0,7.19,13.21,1.2,5.4,134.1,Loam
16.0,39.0,45.0,7.28,17.98,1.6,0.0,326.3,Clay loam
23.0,27.0,50.0,5.7,20.0,2.2,42.6,279.7,Clay loam
57.0,10.0,33.0,5.35,15.5,2.4,13.7,109.2,Loam
55.0,21.0,23.0,7.89,15.55,0.7,4.6,133.7,Sandy loam
27.0,20.0,53.0,7.55,14.97,2.6,4.1,169.1,Silt loam
48.0,15.0,36.0,8.1,15.17,1.5,0.0,94.5,Loam
23.0,18.0,59.0,4.39,41.3,6.7,33.4,137.5,Silt loam
49.0,10.0,41.0,5.56,52.4,3.2,22.6,124.6,Loam
26.0,21.0,53.0,7.27,43.4,4.4,8.0,98.6,Silt loam
23.0,21.0,56.0,7.32,14.87,1.5,0.0,52.1,Silt loam
27.0,19.0,54.0,6.1,12.74,1.9,5.2,72.2,Silt loam
67.0,7.0,26.0,7.4,11.21,0.7,0.0,28.3,Loam
19.0,26.0,55.0,5.73,21.7,2.5,4.1,125.8,Silt loam
35.0,10.0,55.0,7.25,9.17,1.6,0.0,39.0,Silt loam
25.0,20.0,55.0,5.57,18.57,2.4,6.3,101.5,Silt loam
41.0,24.0,35.0,5.58,6.9,1.1,71.8,197.6,Loam
42.0,14.0,44.0,6.23,17.43,4.5,23.8,221.7,Loam
42.0,15.0,43.0,6.95,11.1,2.9,11.1,85.4,Loam
18.0,27.0,55.0,8.56,599.6,1.0,0.0,86.9,Clay loam
49.0,17.0,35.0,5.32,5.0,2.1,6.0,167.5,Loam
38.0,18.0,43.0,5.12,6.04,2.4,8.3,125.9,Loam
28.0,24.0,47.0,7.49,17.59,3.8,4.7,250.0,Loam
41.0,11.0,47.0,5.59,9.78,4.8,19.4,222.8,Loam
24.0,24.0,53.0,5.42,10.72,3.2,5.8,187.4,Silt loam
45.0,13.0,42.0,7.13,6.77,1.1,0.0,48.2,Loam
33.0,27.0,40.0,7.99,15.47,1.4,13.7,193.8,Clay loam
43.0,25.0,32.0,8.07,10.84,0.7,0.0,159.8,Loam
46.0,10.0,44.0,7.75,9.85,0.7,0.0,34.1,Loam
41.0,19.0,40.0,7.77,8.12,0.7,0.0,69.8,Loam
43.0,18.0,38.0,6.9,7.28,1.2,7.4,130.6,Loam
30.0,17.0,52.0,6.82,8.4,1.1,6.3,54.9,Silt loam
27.0,29.0,44.0,8.16,14.2,0.8,4.4,121.1,Clay loam
37.0,23.0,41.0,8.05,15.6,1.3,11.7,127.6,Loam
57.0,10.0,32.0,8.11,13.13,0.9,5.1,40.3,Loam
23.0,36.0,41.0,7.83,20.5,2.0,8.6,131.7,Clay loam
59.0,8.0,33.0,7.39,4.95,0.8,0.0,35.6,Loam
19.0,24.0,57.0,8.08,16.41,2.0,4.1,88.6,Silt loam
69.0,8.0,23.0,6.88,5.23,0.9,0.0,39.6,Loam
51.0,11.0,38.0,6.6,5.47,0.8,0.0,59.8,Loam
15.0,34.0,51.0,7.36,14.79,3.0,4.5,334.1,Clay loam
42.0,14.0,44.0,7.68,15.87,1.9,0.0,50.1,Loam
45.0,20.0,35.0,8.09,13.64,1.3,7.1,123.7,Loam
60.0,9.0,31.0,7.51,10.5,1.4,0.0,41.6,Loam
38.0,12.0,49.0,5.77,6.73,1.3,5.5,49.6,Loam
44.0,12.0,44.0,6.59,3.92,1.1,0.0,27.2,Loam
46.0,11.0,43.0,6.0,11.31,2.0,16.4,155.4,Loam
38.0,13.0,49.0,7.7,7.17,0.9,4.6,31.1,Loam
31.0,17.0,52.0,7.39,40.4,4.6,11.6,373.4,Silt loam
28.0,20.0,52.0,6.86,10.91,2.8,38.4,235.8,Silt loam
41.0,12.0,47.0,5.76,27.4,3.8,16.0,147.0,Loam
26.0,17.0,57.0,5.73,12.45,3.7,14.4,146.4,Silt loam
43.0,15.0,42.0,6.28,4.41,0.6,6.2,116.2,Loam
70.0,9.0,21.0,5.16,6.95,0.5,26.9,54.3,Loamy sand
93.0,2.0,5.0,5.25,5.11,0.5,0.0,27.4,Sand
21.0,34.0,45.0,7.75,19.04,1.7,29.6,334.6,Clay loam
36.0,25.0,40.0,7.6,27.4,1.7,5.9,214.5,Loam
41.0,16.0,43.0,6.38,9.34,2.4,0.0,131.6,Loam
38.0,14.0,48.0,5.47,14.01,4.7,16.2,204.2,Loam
17.0,35.0,47.0,7.91,16.85,1.5,20.8,399.1,Clay loam
39.0,17.0,44.0,6.02,6.77,2.7,7.3,159.0,Loam
40.0,19.0,41.0,7.24,15.22,2.7,7.0,326.8,Loam
29.0,27.0,44.0,5.05,4.93,1.2,20.0,95.4,Clay loam
20.0,20.0,60.0,7.45,20.4,8.0,16.4,543.6,Silt loam
20.0,25.0,55.0,7.65,18.97,4.6,10.2,473.9,Silt loam
22.0,22.0,56.0,7.75,12.7,3.0,0.0,114.7,Silt loam
18.0,26.0,56.0,7.61,10.98,3.2,0.0,177.4,Silt loam
21.0,23.0,55.0,7.13,8.13,2.8,0.0,161.4,Silt loam
57.0,10.0,34.0,5.29,7.21,1.9,7.3,106.4,Loam
38.0,31.0,31.0,7.77,15.27,1.2,14.5,282.1,Clay loam
9.0,59.0,32.0,8.23,12.9,0.4,0.0,140.7,Clay
20.0,22.0,58.0,5.26,4.59,0.8,0.0,87.1,Silt loam
20.0,34.0,47.0,8.03,24.1,2.2,21.5,227.3,Clay loam
31.0,24.0,45.0,7.64,188.1,1.4,21.2,133.0,Loam
60.0,18.0,21.0,8.11,13.6,0.8,19.7,191.3,Loam
29.0,21.0,51.0,7.51,15.64,3.9,5.5,232.0,Silt loam
22.0,27.0,52.0,7.43,28.5,4.9,6.9,92.6,Silt loam
42.0,19.0,39.0,7.37,226.0,1.2,0.0,114.3,Loam
19.0,37.0,43.0,8.15,20.3,1.3,10.8,152.1,Clay loam
54.0,15.0,31.0,6.97,10.98,1.5,4.3,152.5,Loam
23.0,26.0,51.0,7.59,16.27,2.2,0.0,84.2,Silt loam
51.0,9.0,40.0,5.64,5.07,2.8,0.0,143.0,Loam
33.0,18.0,50.0,5.85,25.8,3.5,10.6,127.7,Loam
53.0,13.0,34.0,5.42,5.78,2.7,6.8,184.8,Loam
27.0,16.0,58.0,4.62,74.1,5.0,24.6,236.9,Silt loam
28.0,26.0,46.0,7.3,11.25,0.9,38.8,220.6,Loam
25.0,19.0,55.0,7.8,14.08,1.8,6.8,148.3,Silt loam
43.0,15.0,42.0,5.23,6.99,3.3,10.8,218.6,Loam
64.0,6.0,30.0,5.46,6.38,4.2,10.6,92.7,Loam
20.0,39.0,41.0,7.52,13.67,1.3,17.2,327.1,Clay loam
42.0,14.0,44.0,7.85,17.01,2.3,0.0,103.4,Loam
81.0,6.0,13.0,6.45,3.94,0.7,36.0,80.0,Loamy sand
45.0,11.0,44.0,5.8,7.99,4.2,13.9,228.3,Loam
23.0,21.0,55.0,7.55,18.87,3.9,7.7,135.3,Silt loam
46.0,17.0,37.0,7.92,7.46,0.5,0.0,90.7,Loam
73.0,10.0,18.0,5.27,4.16,0.9,0.0,93.1,Loamy sand
44.0,13.0,42.0,5.47,11.59,4.8,11.1,226.0,Loam
51.0,13.0,36.0,5.56,7.28,2.6,10.9,77.7,Loam
47.0,23.0,30.0,4.84,5.73,1.9,17.0,146.5,Loam
52.0,17.0,31.0,4.77,3.92,1.3,24.0,45.5,Loam
45.0,20.0,35.0,4.64,6.67,1.6,22.9,61.1,Loam
38.0,18.0,44.0,5.59,5.95,2.1,0.0,64.5,Loam
37.0,19.0,44.0,4.58,6.57,1.7,9.0,51.6,Loam
70.0,9.0,21.0,4.38,4.78,0.8,0.0,24.7,Loamy sand
50.0,21.0,30.0,6.57,19.15,1.4,45.5,598.0,Loam
49.0,17.0,34.0,7.16,15.81,2.1,29.1,96.3,Loam
24.0,33.0,43.0,7.7,29.4,2.9,108.7,459.4,Clay loam
27.0,19.0,54.0,4.19,10.87,7.8,28.6,126.8,Silt loam
46.0,12.0,42.0,4.92,12.75,5.0,12.2,115.9,Loam
20.0,25.0,55.0,5.59,6.67,4.9,7.1,124.0,Silt loam
16.0,27.0,57.0,5.7,6.82,5.5,9.1,183.1,Clay loam
14.0,24.0,62.0,4.04,11.08,5.8,16.9,103.7,Silt loam
25.0,24.0,50.0,4.57,8.49,3.7,15.9,395.2,Silt loam
28.0,38.0,34.0,7.63,14.02,1.6,16.2,278.0,Clay loam
27.0,21.0,52.0,6.0,5.43,3.0,0.0,73.2,Silt loam
43.0,17.0,40.0,5.27,5.45,2.4,5.6,113.6,Loam
19.0,26.0,55.0,7.39,15.83,4.9,6.0,252.5,Silt loam
22.0,24.0,54.0,7.53,26.5,3.4,6.2,433.3,Silt loam
45.0,16.0,40.0,7.43,18.34,3.1,8.0,192.5,Loam
44.0,22.0,34.0,6.26,7.73,1.7,21.8,249.8,Loam
28.0,17.0,56.0,7.2,25.8,4.5,11.7,199.7,Silt loam
25.0,22.0,54.0,7.44,20.2,5.8,13.7,378.2,Silt loam
27.0,22.0,51.0,6.39,12.15,3.0,8.5,180.2,Silt loam
29.0,21.0,50.0,6.33,15.59,2.9,10.4,219.4,Silt loam
53.0,17.0,30.0,7.76,13.61,1.5,0.0,128.8,Loam
53.0,19.0,28.0,5.47,5.61,1.3,58.7,161.7,Loam
38.0,19.0,43.0,7.57,14.37,1.7,0.0,161.7,Loam
45.0,21.0,34.0,7.0,7.12,1.0,11.2,143.2,Loam
18.0,29.0,53.0,7.26,16.67,3.3,0.0,211.1,Clay loam
85.0,4.0,11.0,5.88,4.75,0.3,0.0,66.5,Sand
31.0,22.0,48.0,7.36,4.73,3.5,23.1,383.2,Loam
11.0,27.0,62.0,5.2,16.52,0.7,0.0,134.9,Clay loam
15.0,37.0,48.0,7.95,13.73,1.9,0.0,243.8,Clay loam
32.0,26.0,42.0,6.63,12.4,4.3,9.6,161.6,Loam
41.0,20.0,39.0,5.19,5.99,1.6,9.2,47.3,Loam
51.0,17.0,33.0,6.53,32.2,1.2,0.0,83.1,Loam
26.0,28.0,46.0,7.6,16.47,2.4,0.0,326.9,Clay loam
24.0,17.0,59.0,5.16,9.19,5.4,9.7,116.0,Silt loam
32.0,20.0,48.0,6.86,10.18,2.9,0.0,218.2,Loam
32.0,19.0,48.0,4.93,4.81,2.8,6.4,168.5,Loam
21.0,24.0,55.0,4.52,5.17,3.0,6.7,89.3,Silt loam
22.0,23.0,55.0,5.86,11.86,4.6,6.2,139.0,Silt loam
64.0,11.0,25.0,4.94,5.84,1.2,0.0,37.2,Loam
48.0,12.0,40.0,4.17,8.43,2.7,9.9,57.4,Loam
35.0,20.0,45.0,7.12,18.4,2.6,0.0,201.8,Loam
52.0,10.0,38.0,5.68,10.39,3.2,8.5,83.8,Loam
55.0,13.0,32.0,4.83,2.14,1.6,0.0,54.0,Loam
9.0,57.0,34.0,8.32,9.69,0.3,0.0,39.6,Clay
69.0,9.0,21.0,6.44,4.28,0.6,0.0,35.4,Loam
30.0,23.0,47.0,6.25,11.63,3.1,9.6,130.9,Loam
48.0,11.0,41.0,7.51,51.9,4.1,24.9,188.4,Loam
24.0,28.0,48.0,7.72,15.13,2.3,0.0,190.0,Clay loam
19.0,34.0,47.0,7.34,18.63,2.8,7.0,206.2,Clay loam
27.0,19.0,54.0,4.74,6.18,1.4,0.0,39.6,Silt loam
34.0,16.0,50.0,5.36,8.38,4.1,21.1,182.7,Silt loam
34.0,16.0,50.0,6.22,15.55,5.2,14.5,489.2,Silt loam
33.0,16.0,50.0,7.45,22.1,5.0,8.0,157.4,Silt loam
16.0,33.0,51.0,7.39,15.46,3.9,8.0,400.4,Clay loam
69.0,7.0,25.0,5.45,6.44,1.8,0.0,88.2,Loam
73.0,6.0,21.0,4.09,7.36,3.3,17.3,94.7,Loamy sand
38.0,17.0,46.0,4.93,8.15,2.0,0.0,76.3,Loam
23.0,24.0,53.0,6.48,12.66,2.5,7.8,223.7,Silt loam
16.0,33.0,51.0,7.92,12.51,1.0,17.7,128.2,Clay loam
55.0,15.0,29.0,7.03,5.58,0.8,0.0,75.0,Loam
39.0,20.0,41.0,7.24,13.0,2.5,5.9,241.3,Loam
17.0,28.0,55.0,7.0,13.71,5.4,8.7,404.8,Clay loam
67.0,9.0,24.0,7.35,9.38,1.3,0.0,65.7,Loam
35.0,26.0,39.0,5.36,5.28,1.0,31.6,207.6,Loam
59.0,10.0,31.0,6.17,8.68,1.2,7.2,78.0,Loam
43.0,21.0,36.0,4.86,5.14,1.6,29.6,102.6,Loam
36.0,20.0,43.0,6.1,10.84,2.9,9.6,387.0,Loam
44.0,17.0,39.0,4.27,4.56,2.3,6.4,92.2,Loam
37.0,18.0,45.0,4.85,5.21,2.8,14.7,65.8,Loam
33.0,25.0,43.0,6.83,14.87,2.9,36.6,159.2,Loam
57.0,8.0,35.0,6.83,13.97,3.4,10.1,240.5,Loam
13.0,27.0,60.0,6.34,18.04,6.5,11.7,181.5,Clay loam
32.0,22.0,45.0,7.03,19.7,2.0,0.0,202.5,Loam
34.0,18.0,47.0,7.08,20.5,2.9,7.4,297.5,Loam
20.0,27.0,54.0,5.55,6.7,4.6,6.2,231.2,Silt loam
44.0,16.0,40.0,6.23,5.75,2.2,0.0,72.0,Loam
21.0,20.0,59.0,4.19,22.1,6.2,35.8,207.8,Silt loam
23.0,24.0,54.0,4.15,22.8,3.9,12.5,99.9,Silt loam
59.0,6.0,35.0,4.49,12.09,7.9,28.3,209.9,Loam
56.0,8.0,36.0,6.26,71.7,8.3,7.7,47.9,Loam
45.0,11.0,44.0,7.37,49.7,2.7,12.1,68.7,Loam
68.0,6.0,27.0,4.44,7.68,3.2,17.4,108.4,Loam
54.0,7.0,39.0,4.78,21.3,2.8,21.7,136.6,Loam
19.0,24.0,56.0,5.7,10.03,3.4,9.7,158.6,Silt loam
44.0,12.0,44.0,4.2,6.91,6.0,16.5,78.8,Loam
24.0,14.0,62.0,4.81,4.86,2.8,71.3,83.3,Silt loam
46.0,7.0,47.0,4.56,11.32,10.8,27.2,174.6,Loam
45.0,13.0,42.0,4.81,64.0,3.5,12.7,77.4,Loam
23.0,23.0,54.0,5.02,7.59,4.2,12.7,156.2,Silt loam
17.0,22.0,61.0,4.34,32.1,5.6,13.2,191.8,Silt loam
40.0,18.0,42.0,4.68,37.2,2.7,11.3,102.4,Loam
37.0,19.0,44.0,4.57,30.6,3.0,17.4,126.1,Loam
33.0,23.0,44.0,4.58,7.06,2.1,19.2,127.6,Loam
28.0,23.0,49.0,5.23,52.7,4.2,8.6,398.9,Loam
68.0,5.0,27.0,4.36,21.8,14.5,43.8,220.2,Loam
39.0,17.0,44.0,4.98,6.01,2.4,8.3,122.4,Loam
24.0,21.0,55.0,6.34,9.73,5.0,7.8,122.4,Silt loam
20.0,24.0,56.0,4.53,60.8,4.4,10.0,81.0,Silt loam
42.0,17.0,41.0,6.57,36.6,4.4,56.3,260.0,Loam
25.0,39.0,36.0,8.09,15.35,1.8,6.6,500.4,Clay loam
29.0,26.0,46.0,7.78,23.8,1.8,66.5,378.4,Loam
48.0,17.0,34.0,7.71,15.3,1.3,0.0,120.8,Loam
24.0,24.0,51.0,7.12,16.07,2.1,5.9,211.0,Silt loam
42.0,17.0,42.0,5.93,10.45,2.0,13.4,104.4,Loam
19.0,32.0,49.0,6.91,37.5,1.3,9.9,61.7,Clay loam
21.0,21.0,58.0,5.94,8.22,2.1,0.0,84.0,Silt loam
28.0,22.0,50.0,5.61,4.67,1.5,0.0,65.1,Silt loam
33.0,23.0,45.0,5.84,6.06,1.7,4.7,85.9,Loam
27.0,15.0,58.0,7.87,19.6,4.1,0.0,88.9,Silt loam
54.0,20.0,26.0,8.06,17.02,1.0,9.8,111.0,Sandy loam
58.0,17.0,25.0,8.13,15.32,1.1,10.1,167.8,Loam
44.0,20.0,36.0,7.89,16.93,1.5,0.0,115.4,Loam
52.0,17.0,31.0,8.02,18.34,1.8,9.3,105.6,Loam
34.0,26.0,40.0,7.96,16.4,1.4,14.5,138.5,Loam
65.0,14.0,22.0,7.83,109.9,1.6,105.0,668.9,Loam
70.0,10.0,20.0,8.29,24.6,0.9,59.7,234.6,Loamy sand
49.0,20.0,31.0,8.11,15.76,1.0,4.7,184.1,Loam
21.0,42.0,37.0,8.13,16.42,0.9,7.3,312.3,Clay
19.0,43.0,38.0,8.07,17.25,0.7,7.3,517.1,Clay
